,name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,international,european_or_international,time_to_first_funding,status_encoded
14252,InstallFree,Meeting Software,11499997.0,acquired,ISR,other,Tel Aviv,Ra'anana,2.0,1,2006,0.0,11499997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500000.0,0.0,0.0,0.0,0.0,0.0,1,international,2.610958904109589,0
14265,InstantQ,Advertising,0.0,closed,USA,CA,SF Bay Area,Sunnyvale,1.0,5,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.2547945205479452,1
14267,Instapagar,Finance,550000.0,closed,BRA,other,Sao Paulo,Ṣo Paulo,1.0,8,2011,550000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,international,0.16712328767123288,1
14273,Instinctiv,Consumer Electronics,1420698.0,acquired,USA,NY,New York City,New York,4.0,8,2007,750000.0,400002.0,0.0,0.0,0.0,270696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.8356164383561644,0
14283,Insurance Noodle,Enterprises,16150000.0,acquired,USA,IL,Chicago,Chicago,3.0,1,2000,0.0,0.0,0.0,16150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.0821917808219178,0
14285,InsureWorx,Software,6000000.0,acquired,other,other,other,other,1.0,1,2005,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,international,1.0657534246575342,0
14298,IntegralReach,Advertising,50000.0,acquired,USA,MA,Boston,Cambridge,1.0,4,2012,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.5616438356164384,0
14310,Integrien,Enterprise Software,31018951.0,acquired,USA,CA,Anaheim,Irvine,4.0,1,2001,0.0,31018951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0,international,4.372602739726028,0
14315,Intela,Advertising,13250000.0,acquired,USA,CO,Denver,Boulder,2.0,2,2006,0.0,7250000.0,0.0,0.0,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,3.9616438356164383,0
14333,Intelliden,Software,80000000.0,acquired,USA,CA,SF Bay Area,Menlo Park,3.0,1,2000,0.0,80000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000000.0,10000000.0,0.0,0.0,0,international,5.975342465753425,0
14338,Intelligent Apps (mytaxi),Real Time,13017000.0,acquired,DEU,other,Hamburg,Hamburg,4.0,6,2009,0.0,13017000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13017000.0,0.0,0.0,0.0,0.0,0.0,1,european,1.3342465753424657,0
