,name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,time_to_first_funding,time_first_to_last_funding,status_encoded
58,1Lay,Mobile Security,170000.0,operating,other,other,other,other,1.0,7,2013,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8657534246575342,0.0,2
59,1Life Healthcare,Health and Wellness,30000000.0,operating,USA,CA,SF Bay Area,San Francisco,1.0,1,2002,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,0.0,11.224657534246575,0.0,2
60,1Mind,Social Media,500000.0,operating,USA,NH,"Manchester, New Hampshire",Hampton Falls,1.0,1,2011,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5945205479452054,0.0,2
61,1o1Media,Photography,0.0,operating,DEU,other,Berlin,Berlin,1.0,1,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7506849315068493,0.0,2
62,1Ring,Sales and Marketing,0.0,operating,other,other,other,other,1.0,5,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.810958904109589,0.0,2
63,1RP Media,other,0.0,operating,USA,CA,Los Angeles,Los Angeles,1.0,1,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4931506849315068,0.0,2
64,1SDK,Predictive Analytics,156000.0,operating,DEU,other,Berlin,Berlin,2.0,1,2013,156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5260273972602739,0.07671232876712329,2
65,1spire,Manufacturing,30000.0,operating,USA,TX,Houston,Houston,1.0,10,2011,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2191780821917808,0.0,2
66,1st Choice Lawn Care,other,0.0,operating,USA,LA,Shreveport,Bossier City,1.0,8,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0273972602739726,0.0,2
67,1stdibs,E-Commerce,117000000.0,operating,USA,NY,New York City,New York,4.0,1,2001,0.0,57000000.0,0.0,60000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,10.843835616438357,2.2273972602739724,2
68,1stGig.com,E-Commerce,750000.0,operating,USA,NY,"Albany, New York",Saratoga Springs,1.0,8,2009,0.0,0.0,0.0,0.0,0.0,0.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16986301369863,0.0,2
69,1V1 DRAFT GAEMS,other,0.0,operating,USA,NC,Asheville,Asheville,1.0,9,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06027397260273973,0.0,2
70,1World Online,Enterprise Software,1500000.0,operating,USA,CA,SF Bay Area,San Jose,2.0,12,2011,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5863013698630137,0.41643835616438357,2
71,2 Minutes,Games,1660000.0,operating,FRA,other,Paris,Paris,1.0,10,2000,0.0,1660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.720547945205479,0.0,2
72,2 Pro Media Group,other,41250.0,operating,other,other,other,other,1.0,1,2011,41250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0027397260273974,0.0,2
73,2-Observe,other,204189.0,operating,BEL,other,BEL - Other,Ferri̬res,1.0,1,2010,204189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.482191780821918,0.0,2
74,20/20 Gene Systems Inc.,Biotechnology,150000.0,operating,USA,MD,"Washington, D.C.",Rockville,1.0,5,2000,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.41095890410959,0.0,2
75,2080 Media,News,41000000.0,operating,USA,GA,Atlanta,Atlanta,5.0,1,2008,0.0,35700000.0,0.0,0.0,0.0,5300000.0,0.0,0.0,0.0,0.0,2500000.0,0.0,0.0,26000000.0,0.0,0.0,0.0,0.0,2.5945205479452054,2.956164383561644,2
76,20:20 Mobile,Mobile,29750000.0,operating,IRL,other,IRL - Other,Cree,1.0,9,2006,0.0,29750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.841095890410959,0.0,2
77,20lines,Curated Web,1236454.0,operating,ITA,other,Roncade,Roncade,3.0,1,2012,1236454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873972602739726,1.5424657534246575,2
78,20x200,Art,2800000.0,operating,USA,NY,New York City,New York,2.0,9,2007,0.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084931506849315,0.8328767123287671,2
79,21Cake Food Co.,Manufacturing,1464128.0,operating,CHN,other,Beijing,Beijing,1.0,1,2004,0.0,0.0,0.0,0.0,0.0,0.0,1464128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063013698630137,0.0,2
80,21Diamonds,E-Commerce,6369507.0,operating,IND,other,New Delhi,Gurgaon,1.0,6,2012,0.0,6369507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6369507.0,0.0,0.0,0.0,0.0,0.0,0.4575342465753425,0.0,2
81,2.10E+07,Big Data,5050000.0,operating,USA,CA,SF Bay Area,San Francisco,1.0,1,2013,0.0,5050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8767123287671232,0.0,2
82,21viaNet,Software,100000000.0,operating,CHN,other,Beijing,Beijing,2.0,10,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.128767123287671,0.8328767123287671,2
83,22seeds,Software,250000.0,operating,ISR,other,Tel Aviv,Tel Aviv,1.0,1,2010,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.789041095890411,0.0,2
84,2345.com,Software,1610541.0,operating,CHN,other,Shanghai,Shanghai,2.0,9,2005,0.0,0.0,0.0,1610541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6657534246575345,0.4191780821917808,2
85,2359 Media,Mobile,615000.0,operating,SGP,other,Singapore,Singapore,1.0,2,2009,0.0,615000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9424657534246574,0.0,2
86,23andMe,Biotechnology,111949900.0,operating,USA,CA,SF Bay Area,Mountain View,6.0,4,2006,0.0,110549900.0,0.0,0.0,0.0,0.0,0.0,1400000.0,0.0,0.0,9000000.0,12600000.0,31000000.0,57949900.0,0.0,0.0,0.0,0.0,1.082191780821918,7.249315068493151,2
87,23press,Blogging Platforms,50000.0,operating,CAN,ON,Toronto,Toronto,1.0,6,2011,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2054794520547945,0.0,2
88,24 Hour Pro Muscle Gym,Sports,0.0,operating,USA,FL,Florida's Space Coast,Rockledge,1.0,7,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273972602739726,0.0,2
89,248 SolidState,other,500000.0,operating,USA,CA,Los Angeles,Rolling Hills Estates,1.0,1,2007,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.558904109589041,0.0,2
90,24Fundraiser.com,Social Fundraising,400000.0,operating,USA,IL,Chicago,Willowbrook,1.0,8,2007,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7534246575342465,0.0,2
91,24M Technologies,Clean Technology,16000000.0,operating,USA,MD,Salisbury,Cambridge,1.0,1,2010,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6219178082191781,0.0,2
92,24PageBooks,Software,50000.0,closed,USA,NY,"Rochester, New York",Rochester,1.0,1,2010,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3917808219178083,0.0,1
93,24Symbols,Software,0.0,operating,ESP,other,Madrid,Madrid,1.0,8,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20273972602739726,0.0,2
94,24x7 Learning,Education,4000000.0,operating,IND,other,Bangalore,Bangalore,1.0,1,2001,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8493150684931505,0.0,2
95,250ok,Software,200000.0,operating,USA,IN,Indianapolis,Indianapolis,1.0,1,2012,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6684931506849315,0.0,2
